iter	Passed	Remaining
244	2163	6668
245	2174	6663
246	2182	6653
247	2191	6644
248	2198	6632
249	2207	6622
250	2215	6611
251	2223	6599
252	2231	6588
253	2239	6576
254	2247	6564
255	2255	6553
256	2263	6543
257	2271	6531
258	2279	6522
259	2287	6511
260	2296	6501
261	2303	6489
262	2311	6478
263	2319	6466
264	2327	6456
265	2335	6445
266	2343	6434
267	2352	6424
268	2359	6413
269	2368	6404
270	2377	6395
271	2385	6385
272	2394	6375
273	2402	6366
274	2410	6355
275	2418	6344
276	2426	6333
277	2434	6322
278	2442	6311
279	2450	6300
280	2458	6289
281	2466	6279
282	2474	6268
283	2481	6256
284	2490	6247
285	2506	6258
286	2515	6248
287	2522	6237
288	2530	6225
289	2538	6214
290	2545	6202
291	2553	6191
292	2561	6180
293	2568	6168
294	2576	6157
295	2584	6147
296	2592	6136
297	2600	6126
298	2608	6115
299	2616	6106
300	2625	6096
301	2633	6087
302	2641	6075
303	2649	6065
304	2657	6054
305	2664	6044
306	2672	6033
307	2681	6023
308	2688	6012
309	2696	6000
310	2703	5990
311	2711	5978
312	2719	5968
313	2727	5958
314	2735	5947
315	2742	5936
316	2749	5924
317	2757	5913
318	2764	5902
319	2773	5893
320	2781	5882
321	2788	5872
322	2796	5861
323	2804	5850
324	2811	5839
325	2818	5827
326	2826	5817
327	2835	5808
328	2842	5797
329	2851	5788
330	2864	5790
331	2872	5779
332	2880	5768
333	2887	5758
334	2896	5749
335	2903	5738
336	2912	5729
337	2920	5719
338	2927	5708
339	2935	5698
340	2943	5687
341	2950	5677
342	2958	5667
343	2966	5657
344	2974	5646
345	2981	5635
346	2990	5626
347	2997	5616
348	3005	5605
349	3012	5594
350	3020	5584
351	3027	5573
352	3035	5563
353	3042	5552
354	3050	5542
355	3058	5532
356	3066	5522
357	3073	5512
358	3081	5502
359	3089	5492
360	3097	5482
361	3104	5472
362	3112	5461
363	3119	5450
364	3127	5440
365	3135	5430
366	3143	5421
367	3150	5410
368	3158	5401
369	3166	5391
370	3173	5381
371	3181	5371
372	3189	5361
373	3197	5352
374	3205	5342
375	3212	5331
376	3221	5323
377	3229	5314
378	3237	5304
379	3245	5294
380	3252	5284
381	3260	5274
382	3267	5264
383	3275	5253
384	3282	5243
385	3291	5235
386	3298	5225
387	3306	5215
388	3314	5205
389	3321	5195
390	3329	5185
391	3336	5175
392	3344	5166
393	3353	5157
394	3360	5147
395	3368	5137
396	3375	5126
397	3382	5116
398	3390	5107
399	3398	5097
400	3406	5088
401	3414	5079
402	3422	5069
403	3429	5059
404	3437	5050
405	3444	5040
406	3452	5030
407	3461	5021
408	3468	5012
409	3476	5003
410	3483	4992
411	3491	4983
412	3500	4974
413	3507	4965
414	3515	4955
415	3523	4946
416	3531	4936
417	3538	4927
418	3546	4917
419	3554	4908
420	3562	4899
421	3570	4890
422	3578	4880
423	3585	4871
424	3593	4861
425	3601	4852
426	3608	4842
427	3616	4833
428	3624	4823
429	3632	4814
430	3640	4805
431	3647	4795
432	3655	4786
433	3662	4776
434	3670	4767
435	3678	4758
436	3685	4748
437	3694	4739
438	3702	4731
439	3710	4721
440	3717	4712
441	3725	4703
442	3733	4694
443	3741	4684
444	3748	4675
445	3756	4665
446	3763	4656
447	3771	4646
448	3780	4638
449	3788	4630
450	3796	4620
451	3804	4612
452	3814	4605
453	3823	4597
454	3831	4589
455	3839	4580
456	3847	4571
457	3855	4562
458	3864	4555
459	3873	4547
460	3882	4539
461	3892	4532
462	3902	4525
463	3912	4519
464	3921	4511
465	3931	4505
466	3940	4497
467	3951	4491
468	3960	4484
469	3971	4478
470	3981	4471
471	3990	4464
472	4000	4457
473	4010	4450
474	4021	4444
475	4030	4436
476	4040	4430
477	4050	4423
478	4060	4416
479	4070	4409
480	4079	4402
481	4089	4395
482	4100	4388
483	4109	4381
484	4119	4374
485	4129	4367
486	4139	4360
487	4149	4353
488	4158	4345
489	4168	4338
490	4177	4330
491	4186	4322
492	4196	4315
493	4205	4308
494	4214	4300
495	4225	4293
496	4234	4285
497	4244	4278
498	4253	4270
499	4262	4262
500	4272	4255
501	4281	4246
502	4289	4238
503	4299	4231
504	4309	4224
505	4319	4217
506	4329	4209
507	4337	4201
508	4347	4194
509	4357	4186
510	4366	4178
511	4376	4171
512	4385	4163
513	4395	4156
514	4404	4148
515	4413	4140
516	4422	4132
517	4432	4124
518	4441	4116
519	4451	4108
520	4460	4100
521	4470	4094
522	4480	4086
523	4490	4079
524	4499	4071
525	4508	4063
526	4518	4055
527	4528	4047
528	4537	4040
529	4547	4032
530	4556	4024
531	4565	4016
532	4574	4008
533	4583	3999
534	4592	3991
535	4600	3982
536	4608	3973
537	4616	3964
538	4623	3954
539	4631	3945
540	4640	3936
541	4647	3927
542	4655	3917
543	4662	3908
544	4670	3899
545	4678	3890
546	4686	3880
547	4693	3871
548	4701	3862
549	4709	3852
550	4717	3844
551	4725	3835
552	4735	3827
553	4743	3819
554	4755	3812
555	4764	3805
556	4773	3796
557	4781	3787
558	4790	3779
559	4800	3771
560	4810	3764
561	4819	3756
562	4828	3747
563	4836	3739
564	4846	3731
565	4855	3722
566	4864	3714
567	4874	3707
568	4883	3699
569	4894	3692
570	4903	3684
571	4912	3675
572	4921	3667
573	4930	3658
574	4939	3651
575	4948	3642
576	4957	3634
577	4966	3626
578	4976	3618
579	4985	3610
580	4996	3603
581	5004	3594
582	5014	3586
583	5024	3579
584	5033	3571
585	5043	3563
586	5052	3554
587	5061	3546
588	5070	3538
589	5080	3530
590	5088	3521
591	5098	3514
592	5107	3505
593	5116	3496
594	5124	3488
595	5133	3479
596	5142	3471
597	5151	3462
598	5159	3454
599	5168	3445
600	5176	3436
601	5185	3428
602	5193	3419
603	5201	3410
604	5208	3400
605	5216	3391
606	5225	3383
607	5233	3374
608	5242	3365
609	5250	3357
610	5259	3348
611	5267	3339
612	5276	3330
613	5284	3322
614	5292	3313
615	5300	3304
616	5309	3295
617	5317	3287
618	5326	3278
619	5334	3269
620	5343	3260
621	5351	3252
622	5359	3243
623	5368	3234
624	5376	3226
625	5385	3217
626	5395	3209
627	5404	3201
628	5412	3192
629	5420	3183
630	5427	3173
631	5435	3165
632	5444	3156
633	5452	3147
634	5460	3138
635	5468	3129
636	5477	3121
637	5485	3112
638	5493	3103
639	5501	3094
640	5509	3085
641	5517	3076
642	5525	3067
643	5533	3059
644	5541	3050
645	5549	3040
646	5556	3031
647	5564	3022
648	5572	3013
649	5580	3004
650	5588	2996
651	5596	2987
652	5604	2978
653	5611	2968
654	5619	2959
655	5627	2951
656	5635	2942
657	5643	2933
658	5651	2924
659	5659	2915
660	5667	2906
661	5675	2897
662	5683	2888
663	5691	2880
664	5699	2871
665	5707	2862
666	5715	2853
667	5722	2844
668	5730	2835
669	5738	2826
670	5746	2817
671	5754	2808
672	5761	2799
673	5769	2790
674	5776	2781
675	5783	2772
676	5791	2763
677	5800	2754
678	5808	2745
679	5816	2737
680	5823	2727
681	5831	2718
682	5838	2709
683	5846	2701
684	5854	2692
685	5862	2683
686	5869	2674
687	5877	2665
688	5884	2656
689	5892	2647
690	5901	2638
691	5909	2630
692	5916	2621
693	5924	2612
694	5932	2603
695	5940	2594
696	5947	2585
697	5955	2576
698	5963	2567
699	5971	2559
700	5978	2550
701	5988	2541
702	5996	2533
703	6004	2524
704	6012	2515
705	6019	2506
706	6027	2497
707	6034	2488
708	6042	2480
709	6050	2471
710	6057	2462
711	6066	2453
712	6074	2444
713	6082	2436
714	6090	2427
715	6098	2418
716	6106	2410
717	6113	2401
718	6122	2392
719	6129	2383
720	6136	2374
721	6144	2366
722	6152	2357
723	6161	2348
724	6169	2340
725	6176	2331
726	6184	2322
727	6191	2313
728	6199	2304
729	6207	2295
730	6215	2287
731	6223	2278
732	6231	2269
733	6239	2261
734	6246	2252
735	6254	2243
736	6262	2234
737	6270	2226
738	6278	2217
739	6285	2208
740	6293	2199
741	6301	2191
742	6309	2182
743	6318	2173
744	6325	2165
745	6333	2156
746	6340	2147
747	6349	2139
748	6358	2130
749	6366	2122
750	6373	2113
751	6381	2104
752	6391	2096
753	6398	2087
754	6407	2079
755	6414	2070
756	6422	2061
757	6429	2052
758	6437	2043
759	6445	2035
760	6453	2026
761	6461	2018
762	6468	2009
763	6475	2000
764	6483	1991
765	6490	1982
766	6498	1974
767	6506	1965
768	6513	1956
769	6521	1948
770	6529	1939
771	6536	1930
772	6544	1921
773	6552	1913
774	6559	1904
775	6567	1895
776	6575	1887
777	6582	1878
778	6590	1869
779	6598	1860
780	6606	1852
781	6614	1843
782	6621	1835
783	6629	1826
784	6636	1817
785	6644	1809
786	6651	1800
787	6659	1791
788	6666	1782
789	6674	1774
790	6681	1765
791	6689	1756
792	6697	1748
793	6705	1739
794	6713	1731
795	6721	1722
796	6728	1713
797	6736	1705
798	6744	1696
799	6752	1688
800	6759	1679
801	6766	1670
802	6774	1661
803	6782	1653
804	6790	1644
805	6798	1636
806	6806	1627
807	6814	1619
808	6825	1611
809	6834	1603
810	6844	1595
811	6854	1586
812	6863	1578
813	6872	1570
814	6881	1562
815	6890	1553
816	6899	1545
817	6908	1536
818	6919	1529
819	6928	1520
820	6937	1512
821	6947	1504
822	6957	1496
823	6967	1488
824	6976	1479
825	6983	1471
826	6992	1462
827	7001	1454
828	7010	1446
829	7019	1437
830	7028	1429
831	7036	1420
832	7045	1412
833	7052	1403
834	7060	1395
835	7070	1386
836	7079	1378
837	7087	1370
838	7096	1361
839	7104	1353
840	7112	1344
841	7119	1335
842	7126	1327
843	7134	1318
844	7143	1310
845	7151	1301
846	7159	1293
847	7166	1284
848	7173	1275
849	7180	1267
850	7187	1258
851	7195	1249
852	7202	1241
853	7209	1232
854	7216	1223
855	7223	1215
856	7231	1206
857	7238	1197
858	7245	1189
859	7252	1180
860	7259	1172
861	7266	1163
862	7273	1154
863	7280	1146
864	7288	1137
865	7295	1128
866	7303	1120
867	7310	1111
868	7317	1103
869	7325	1094
870	7331	1085
871	7339	1077
872	7345	1068
873	7353	1060
874	7361	1051
875	7370	1043
876	7378	1034
877	7387	1026
878	7396	1018
879	7405	1009
880	7413	1001
881	7422	993
882	7431	984
883	7440	976
884	7449	968
885	7459	959
886	7468	951
887	7477	943
888	7487	934
889	7499	926
890	7509	918
891	7519	910
892	7529	902
893	7540	894
894	7550	885
895	7560	877
896	7570	869
897	7581	861
898	7591	852
899	7600	844
900	7609	836
901	7618	827
902	7628	819
903	7638	811
904	7646	802
905	7656	794
906	7666	786
907	7674	777
908	7683	769
909	7692	760
910	7701	752
911	7711	744
912	7719	735
913	7728	727
914	7737	718
915	7746	710
916	7754	701
917	7762	693
918	7772	685
919	7780	676
920	7787	668
921	7795	659
922	7804	651
923	7811	642
924	7820	634
925	7828	625
926	7839	617
927	7848	608
928	7856	600
929	7864	591
930	7872	583
931	7880	574
932	7889	566
933	7897	558
934	7905	549
935	7912	541
936	7920	532
937	7928	524
938	7936	515
939	7945	507
940	7953	498
941	7961	490
942	7969	481
943	7977	473
944	7984	464
945	7992	456
946	8000	447
947	8009	439
948	8017	430
949	8025	422
950	8033	413
951	8041	405
952	8048	396
953	8056	388
954	8063	379
955	8071	371
956	8079	363
957	8087	354
958	8094	346
959	8102	337
960	8110	329
961	8117	320
962	8125	312
963	8133	303
964	8140	295
965	8148	286
966	8155	278
967	8163	269
968	8170	261
969	8178	252
970	8186	244
971	8193	236
972	8201	227
973	8209	219
974	8217	210
975	8225	202
976	8233	193
977	8241	185
978	8249	176
979	8256	168
980	8264	160
981	8272	151
982	8280	143
983	8288	134
984	8296	126
985	8303	117
986	8310	109
987	8317	101
988	8324	92
989	8332	84
990	8340	75
991	8348	67
992	8355	58
993	8364	50
994	8372	42
995	8381	33
996	8389	25
997	8396	16
998	8404	8
999	8412	0
